article_name,article_url,article_time,article_contet
台北/摩斯漢堡/徵早中晚班工讀生,https://www.dcard.tw/f/parttime/p/238453619,2022/3/26 19:05,"【公司名稱／工作職缺】 摩斯漢堡師大附中店/早中晚班工讀生 【工作內容】 收銀服務、材料準備、漢堡製作等、環境清潔...等。 【工作地點】 台北市大安區信義路三段184號1、2 樓 (距捷運大安站約100公尺) 【工作時間】 排班制，時段都可調整，不需上整段班 open班 05-09 早班 06-11 中班 11-16 晚班 17-21 打烊班 21-24 【徵求條件】 一般求職者 【加分條件】 享保險、免費制服、員工優惠餐飲 【薪資待遇】 時薪168至213元 【公司福利】 ★【兼職同仁福利】 1.23：00~06：00出勤上班，享夜班津貼每小時加發45元 2.國定假日出勤加倍薪 3.通過檢定考即可調薪 4.部份職級當月出勤時數達120小時(含)以上享加發金 5.完善員工保障(享勞/健保、勞退提撥) 6.團體保險(意外傷害/意外醫療險) 7.職福會旅遊補助(依服務年資與時數規定給予補助) 8.生日禮金、端午禮金、中秋禮金 9.員工餐飲優惠 10.關係企業家電享員工優惠價 【聯絡方式】 聯絡人：店長或值班人員 1.line ID: iron5202 2.店鋪電話:02-27556753 3.EMAIL: mos384@mos.com.tw 4. 於餐期離峰時間親自至店鋪詢問 【其他備註】 歡迎熱情大方，有責任感且對餐飲有興趣同仁加入!! 備機車者佳，需能配合長期工讀者!! 請來電留下您可以配合排班的時段 並註明方便接聽電話的時間 或是親自至摩斯漢堡師大附中店遞送履歷 但是請避開中午晚上用餐時間喔 歡迎二度就業的媽媽,還有想要打工的學生 兼差的上班族加入我們的行列~ 我們是間工作氣氛融洽,同事相處愉快的店 不用擔心哦 在這裡可以學習如何處理新鮮食材 如何製作好吃的漢堡,如何為顧客提供服務 師大附中店很珍惜每個想加入的夥伴 摩斯漢堡師大附中店歡迎您^_^"
台北/湘湘牛排/外場工讀生,https://www.dcard.tw/f/parttime/p/238453201,2022/3/26 18:05,"【公司名稱／工作職缺】 湘湘牛排/外場工讀生 【工作內容】 ．負責為顧客帶位、安排座位 ．將菜單遞給顧客、解決顧客提出之疑問，並給予餐點上的建議。 ．後續將顧客點餐訊息通知廚房做餐，或可進行簡易餐飲之料理，如：烤酥皮濃湯等。 ．於顧客用餐完畢後，負責收拾碗盤與清理環境。 【工作地點】 台北市文山區指南路二段12號 【工作時間】 10:30～14:00輪班，排休制 【徵求條件】 對餐飲服務業有興趣或相關科系畢業，有工作經驗者佳。 【加分條件】 對餐飲服務業有興趣或相關科系畢業，有工作經驗者佳。 【薪資待遇】 時薪170元 【公司福利】 1)供餐店裡牛排享用 2)偶爾會有老闆請的飲料 【聯絡方式】 聯絡人:劉先生 電話:02 2937 9277 【其他備註】 如安排現場面試，請自備簡易履歷表,謝謝您"
桃園大溪/大溪威斯汀度假酒店/餐飲外場兼職人才,https://www.dcard.tw/f/parttime/p/238453200,2022/3/26 18:05,【公司名稱／工作職缺】 大溪威斯汀度假酒店/餐飲外場兼職人才 【工作內容】 1.餐期準備工作 2.上菜桌邊服務 3.環境整理清潔 4.客人帶位、倒水、點餐等餐飲服務4.完成主管交辦事項 【工作地點】 桃園市大溪區日新路166號 【工作時間】 平假日彈性排班。中班11:30-15:00 晚班17:30-21:30 【徵求條件】 需有交通工具 【加分條件】 有餐飲經驗 【薪資待遇】 170-210 【公司福利】 提供免費員工工作餐（自助餐形式附有生菜沙拉水果、汽水機、咖啡無限量供應、員工制服換洗服務） 【聯絡方式】 吳經理 email :John.wu3@westin.com Line:0909810075 【其他備註】 具有考核制度，依照能力定期調薪。
桃園/葡萄王健康活力能量館/長期工讀生,https://www.dcard.tw/f/parttime/p/238453004,2022/3/26 17:35,【公司名稱／工作職缺】 葡萄王生技股份有限公司/長期工讀生 【工作內容】 1.門市相關業務 2.輕食區工作執行 【工作地點】 桃園市平鎮區金陵路二段402號 【工作時間】 上班時間：0830-1730 休息時間：中午休息1個小時 排班：可依需求討論安排日期 休假：固定每週一休館/其他依法規定 【徵求條件】 配合長期工讀為主，其他暫無要求 【加分條件】 有從事服務業經驗尤佳 【薪資待遇】 時薪168元 【公司福利】 中午免費供餐/其他請洽官網 【聯絡方式】 郭先生/03-4572121#1826 Email:taka.kuo@grapeking.com.tw 【其他備註】
台北/摩斯漢堡/徵早中晚班工讀生,https://www.dcard.tw/f/parttime/p/238452970,2022/3/26 17:30,"【公司名稱／工作職缺】 摩斯漢堡師大附中店/早中晚班工讀生 【工作內容】 收銀服務、材料準備、漢堡製作等、環境清潔...等。 【工作地點】 台北市大安區信義路三段184號1、2 樓 (距捷運大安站約100公尺) 【工作時間】 排班制，時段都可調整，不需上整段班 open班 05-09 早班 06-11 中班 11-16 晚班 17-21 打烊班 21-24 【徵求條件】 一般求職者 【加分條件】 享保險、免費制服、員工優惠餐飲 【薪資待遇】 時薪168至213元 【公司福利】 ★【兼職同仁福利】 1.23：00~06：00出勤上班，享夜班津貼每小時加發45元 2.國定假日出勤加倍薪 3.通過檢定考即可調薪 4.部份職級當月出勤時數達120小時(含)以上享加發金 5.完善員工保障(享勞/健保、勞退提撥) 6.團體保險(意外傷害/意外醫療險) 7.職福會旅遊補助(依服務年資與時數規定給予補助) 8.生日禮金、端午禮金、中秋禮金 9.員工餐飲優惠 10.關係企業家電享員工優惠價 【聯絡方式】 聯絡人：店長或值班人員 1.line ID: iron5202 2.店鋪電話:02-27556753 3.EMAIL: mos384@mos.com.tw 4. 於餐期離峰時間親自至店鋪詢問 【其他備註】 歡迎熱情大方，有責任感且對餐飲有興趣同仁加入!! 備機車者佳，需能配合長期工讀者!! 請來電留下您可以配合排班的時段 並註明方便接聽電話的時間 或是親自至摩斯漢堡師大附中店遞送履歷 但是請避開中午晚上用餐時間喔 歡迎二度就業的媽媽,還有想要打工的學生 兼差的上班族加入我們的行列~ 我們是間工作氣氛融洽,同事相處愉快的店 不用擔心哦 在這裡可以學習如何處理新鮮食材 如何製作好吃的漢堡,如何為顧客提供服務 師大附中店很珍惜每個想加入的夥伴 摩斯漢堡師大附中店歡迎您^_^"
台北/湘湘牛排/外場工讀生,https://www.dcard.tw/f/parttime/p/238452969,2022/3/26 17:30,"【公司名稱／工作職缺】 湘湘牛排/外場工讀生 【工作內容】 ．負責為顧客帶位、安排座位 ．將菜單遞給顧客、解決顧客提出之疑問，並給予餐點上的建議。 ．後續將顧客點餐訊息通知廚房做餐，或可進行簡易餐飲之料理，如：烤酥皮濃湯等。 ．於顧客用餐完畢後，負責收拾碗盤與清理環境。 【工作地點】 台北市文山區指南路二段12號 【工作時間】 10:30～14:00輪班，排休制 【徵求條件】 對餐飲服務業有興趣或相關科系畢業，有工作經驗者佳。 【加分條件】 對餐飲服務業有興趣或相關科系畢業，有工作經驗者佳。 【薪資待遇】 時薪170元 【公司福利】 1)供餐店裡牛排享用 2)偶爾會有老闆請的飲料 【聯絡方式】 聯絡人:劉先生 電話:02 2937 9277 【其他備註】 如安排現場面試，請自備簡易履歷表,謝謝您"
桃園大溪/大溪威斯汀度假酒店/餐飲外場兼職人才,https://www.dcard.tw/f/parttime/p/238452968,2022/3/26 17:30,【公司名稱／工作職缺】 大溪威斯汀度假酒店/餐飲外場兼職人才 【工作內容】 1.餐期準備工作 2.上菜桌邊服務 3.環境整理清潔 4.客人帶位、倒水、點餐等餐飲服務4.完成主管交辦事項 【工作地點】 桃園市大溪區日新路166號 【工作時間】 平假日彈性排班。中班11:30-15:00 晚班17:30-21:30 【徵求條件】 需有交通工具 【加分條件】 有餐飲經驗 【薪資待遇】 170-210 【公司福利】 提供免費員工工作餐（自助餐形式附有生菜沙拉水果、汽水機、咖啡無限量供應、員工制服換洗服務） 【聯絡方式】 吳經理 email :John.wu3@westin.com Line:0909810075 【其他備註】 具有考核制度，依照能力定期調薪。
桃園/葡萄王健康活力能量館/長期工讀生,https://www.dcard.tw/f/parttime/p/238452967,2022/3/26 17:30,【公司名稱／工作職缺】 葡萄王生技股份有限公司/長期工讀生 【工作內容】 1.門市相關業務 2.輕食區工作執行 【工作地點】 桃園市平鎮區金陵路二段402號 【工作時間】 上班時間：0830-1730 休息時間：中午休息1個小時 排班：可依需求討論安排日期 休假：固定每週一休館/其他依法規定 【徵求條件】 配合長期工讀為主，其他暫無要求 【加分條件】 有從事服務業經驗尤佳 【薪資待遇】 時薪168元 【公司福利】 中午免費供餐/其他請洽官網 【聯絡方式】 郭先生/03-4572121#1826 Email:taka.kuo@grapeking.com.tw 【其他備註】
台北/康筌國際股份有限公司/櫃檯總務,https://www.dcard.tw/f/parttime/p/238448915,2022/3/26 01:19,【公司名稱／工作職缺】 康筌國際股份有限公司/櫃檯總務 【工作內容】 1. 總機電話接聽、過濾、轉接及訪客接待事宜。 2. 協助辦公室事務處理、修繕維修事務機 3. 負責一般文書資料處理及歸檔工作與庶務處理。 4. 郵件、快遞/包裹收發等郵務事項。 5. 辦公用品與軟硬體管理採購。 6. 公司活動規劃與軟硬體安排協助。 7. 辦公室環境整潔和協調辦公室各項所需 。 8. 負責簡單零用金管理。 9. 辦公室行政流程企劃與安排。 10. 協助主管與其他部門交辦事務 【工作地點】 台北市松山區南京東路四段186號5樓之1 【工作時間】 日班9:00~18:00 或是 8：30~17：30 午休12：00~13：30 【徵求條件】 工作經驗：不拘 學歷要求： 專科、大學 科系要求：不拘 語文條件：英文-聽/略懂、說/略懂、讀/中等、寫/中等 擅長工具： Excel、Outlook、PowerPoint、word 工作技能：不拘 【加分條件】 1. 如對資訊設備(組裝電腦、熟悉PC、印表機、文書軟體、WIFI、網路、防火牆..)軟硬體維護熟悉者優先面談。 2. 個性積極以及細心且具有耐心。 3. 對於協助公司同仁處理行政相關事務具有高度熱情，讓大家覺得有你真好。 4. 二年以上辦公室行政經驗尤佳。 歡迎所有求職者與應屆畢業生~ 😃 【薪資待遇】 月薪27000~30000 【公司福利】 獎金：年終獎金/三節獎金/全勤獎金 保險：勞保/健保/退休金 休假：週休二日 【聯絡方式】 張小姐 rita.chang@lakontra.com.tw 請將履歷寄至信箱，主旨請寫「應徵櫃檯總務-OOO」來信請有禮貌，若您適合我們會主動聯絡您，邀請您來面試談談 【其他備註】
桃園/龜山健雄骨科診所/行政助理工讀,https://www.dcard.tw/f/parttime/p/238448680,2022/3/26 00:48,【公司名稱／工作職缺】 健雄骨科診所/行政工讀生 【工作內容】 病例歸檔、環境清理、洗/晾毛巾、倒垃圾 【工作地點】 桃園市龜山區復興一路220號（近林口長庚） 【工作時間】 早班 08:00-12:00 午班 13:30-17:30 晚班 17:30-21:30 （排班制） 【徵求條件】 學生及二度就業人士 【加分條件】 無經驗可、態度積極 【薪資待遇】 時薪168 【公司福利】 彈性排班、無經驗可、點心櫃、公司聚餐、同事可愛 【聯絡方式】 聯絡人：邱沛婷 聯絡方式：peiting096@gmail.com 【其他備註】 公司簡介：一般骨科 兒童復健 外傷處置 彼拉提斯 運動傷害診所（診所靠近林口長庚）
