url,title,price
https://24h.pchome.com.tw/prod/DYAJFQ-1900C8MBO,三入組★隨時回價Apple iPhone 13 Pro (256G)-天峰藍色(MLVP3TA/A),103500
https://24h.pchome.com.tw/prod/DGBN51-A900AWRPD,▼每日強檔‧瘋殺特賣▼軍規防震xType C【Transcend 創見】4TB StoreJet 25M3C 軍規防震2.5吋Type C行動硬碟-太空灰,2999
https://24h.pchome.com.tw/prod/DBCRK9-A900B1CBK,【家樂福】5000元即享券(餘額型),5000
https://24h.pchome.com.tw/prod/DYAJJU-1900BSGW6,星光色★狂降$1901Apple iPhone 13 (256G)-星光色(MLQ73TA/A),27499
https://24h.pchome.com.tw/prod/DBCRKA-A900AY25O,【大潤發】 500元即享券(餘額型),500
https://24h.pchome.com.tw/prod/DECJ7I-A900BUTD6,"樂天網銀新戶限定★享50%回饋 儲值2,000元，回饋1,000元",2000
https://24h.pchome.com.tw/prod/DECJ7H-A900E0239,"3月品牌日★00點開搶 儲值16,000元",16000
https://24h.pchome.com.tw/prod/DRAHC0-A900ENF5V,美光Micron Crucial MX500 1TB SATAⅢ 固態硬碟,2399
https://mall.pchome.com.tw/prod/QAAY4A-D9009HR0I,MyCard 1000點虛擬點數卡,950
https://24h.pchome.com.tw/prod/DECJ72-A900C4CAU,"週二聯邦限定★最高送120刷卡金 儲值2,000元",2000
https://24h.pchome.com.tw/prod/DCAO5I-A900BTNL3,⛄領券現折$500⛄Office 2021 家用版盒裝,4590
https://24h.pchome.com.tw/prod/DYALFD-A900B8ONS,6.5吋大螢幕▼4+1鏡頭Samsung Galaxy M12(4G/128G)-超鯊藍,4990
https://24h.pchome.com.tw/prod/DGCW1N-1900BS9YR,任天堂 Nintendo Switch（OLED款式）白色 台灣公司貨,10280
https://24h.pchome.com.tw/prod/DMAABB-A900DYUM5,▲P孩節#小時我GOhome長大我購PChome▲★ Chromecast 4 Google TV 4K ★四代 串流媒體播放器｜電視棒｜一年保固,2290
https://24h.pchome.com.tw/prod/DYAN4C-A900C2FG6,小米手環 6,995
https://24h.pchome.com.tw/prod/DECJ7H-A900E024Q,"3月品牌日★00點開搶 儲值36,000元",36000
https://24h.pchome.com.tw/prod/DECJ7H-A900E024X,"3月女人節★00點開搶 儲值18,888元",18888
https://24h.pchome.com.tw/prod/DAAG0W-A900ANH66,春風 三層超厚柔感抽取衛生紙(100抽x8包x8串/箱)【PChome購物x春風聯名款】,799
https://24h.pchome.com.tw/prod/DYALGS-A900C7K38,再享Buds2六折加購優惠SAMSUNG Galaxy A52s 5G (6G/128G),9980
https://mall.pchome.com.tw/prod/QFBW0E-A9007ORPK," 	PChome儲值 ✠儲值金額100,000元✠",100000
https://24h.pchome.com.tw/prod/DYALIG-A900ECFRP,▼每日強檔‧瘋殺特賣▼★開賣好禮搶先預約★SAMSUNG Galaxy S22 Ultra (12G/512G) 上市開賣好禮搶先預約賣場,41900
https://24h.pchome.com.tw/prod/DAAG50-A900ADCMG,▲春季百貨特惠▲倍潔雅 純萃柔感抽取式衛生紙(200抽x12包x5袋/箱)【PChome24h獨家販售】,819
https://24h.pchome.com.tw/prod/DYAJCS-1900DZH9O,"MacBook Pro14: M1 Pro chip with 10‑core CPU and 16‑core GPU, 1TB SSD Space Grey",68912
https://mall.pchome.com.tw/prod/QAAY4A-D9009HR0M,MyCard 3000點虛擬點數卡,2850
https://mall.pchome.com.tw/prod/QFBW0B-A9007ORQ2,"PChome儲值 ✠儲值金額2,000元✠",2000
https://24h.pchome.com.tw/prod/DYAN6D-A900BFSO8,10000 小米行動電源 3 快充版 黑色,435
https://24h.pchome.com.tw/prod/DRADJ4-A900ENE7A,PNY GeForce RTX 3060 12G 顯示卡(LHR),15490
https://24h.pchome.com.tw/prod/DSABCR-A900BIDSC,Lenovo 24吋 超值螢幕(D24-20),3000
